directorio,sex,female,age,max_educ_level,total_hours_worked,estrato1,micro_empresa,formal,tipo_ocup,size_firm,oficio,college,ingtot,y_ing_lab_m,y_ing_lab_m_ha,y_salary_m,y_salary_m_hu,y_total_m,y_total_m_ha
4514395,0,1,18,7,48,3,0,1,1,3,41,0,1308333.33333333,1008333.3125,4901.6201171875,950000,4618.0556640625,1008333.3125,4901.6201171875
4514397,1,0,41,7,48,4,0,1,1,5,44,0,6716666.66666667,5416666.5,26331.017578125,5000000,24305.5546875,5416666.5,26331.017578125
4514398,0,1,33,7,30,4,0,1,1,3,53,0,650000,650000,5055.5556640625,650000,5055.5556640625,650000,5055.5556640625
4514402,0,1,53,6,48,2,0,1,1,5,55,1,849857,849857,4131.24951171875,737717,3586.12426757812,849857,4131.24951171875
4514403,0,1,60,4,45,3,1,0,3,1,54,0,897717,737717,3825.19921875,737717,3825.19921875,737717,3825.19921875
4514404,0,1,43,7,30,2,0,1,2,5,13,0,2018667,1602000,12460,1602000,12460,1602000,12460
4514404,0,1,62,6,48,2,0,0,1,3,92,1,780000,780000,3791.66674804688,780000,3791.66674804688,780000,3791.66674804688
4514405,1,0,47,6,60,2,0,0,1,3,98,1,3200000,3200000,12444.4443359375,3200000,12444.4443359375,3200000,12444.4443359375
4514406,1,0,18,7,15,3,1,0,1,2,53,0,300000,300000,4666.66650390625,300000,4666.66650390625,300000,4666.66650390625
4514406,0,1,44,7,10,3,0,1,1,3,37,0,1550000,700000,16333.3330078125,700000,16333.3330078125,700000,16333.3330078125
4514409,1,0,23,6,80,2,1,0,1,2,37,1,800000,800000,2333.33325195312,800000,2333.33325195312,800000,2333.33325195312
4514410,1,0,38,5,84,3,0,1,1,5,58,0,3201666.66666667,3201666.75,8893.5185546875,2900000,8055.5556640625,3201666.75,8893.5185546875
4514411,1,0,22,6,48,3,0,1,1,5,38,1,766883.666666667,766883.6875,3727.90673828125,737717,3586.12426757812,766883.6875,3727.90673828125
4514411,0,1,21,6,48,3,1,1,1,2,6,1,737717,737717,3586.12426757812,737717,3586.12426757812,737717,3586.12426757812
4514411,1,0,47,6,48,3,0,1,1,4,85,1,766883.666666667,766883.6875,3727.90673828125,737717,3586.12426757812,766883.6875,3727.90673828125
4514411,0,1,50,6,48,3,0,1,1,5,55,1,798967,798967.0625,3883.86767578125,737717,3586.12426757812,798967.0625,3883.86767578125
4514412,1,0,35,7,50,3,0,1,1,5,3,0,1541473.33333333,1541473.375,7193.54248046875,1300000,6066.66650390625,1541473.375,7193.54248046875
4514412,0,1,37,7,40,3,0,1,1,5,54,0,889217,889217,5187.09912109375,737717,4303.34912109375,889217,5187.09912109375
4514413,0,1,24,7,45,2,0,1,1,5,21,0,1058300,1058300,5487.4814453125,900000,4666.66650390625,1058300,5487.4814453125
4514413,0,1,47,5,36,2,1,0,3,1,54,0,720000,320000,2074.07397460938,300000,1944.44445800781,320000,2074.07397460938
4514415,1,0,18,7,48,3,0,1,1,4,70,0,1320640,1162306.625,5650.1015625,1000000,4861.111328125,1162306.625,5650.1015625
4514415,0,1,46,6,40,3,1,0,3,1,54,1,530000,360000,2100,360000,2100,360000,2100
4514416,0,1,57,6,48,2,0,1,1,5,55,1,838333,780000,3791.66674804688,780000,3791.66674804688,780000,3791.66674804688
